"죄종별(1)",죄종별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"죄종별(1)",죄종별(2),계,서울,부산,대구,인천,광주,대전,울산,세종,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,기타도시,도시이외
"죄종별(1)",죄종별(2),소계,소계,소계,소계,소계,소계,소계,소계,소계,고양시,과천시,광명시,광주시,구리시,군포시,김포시,남양주시,동두천시,부천시,성남시,수원시,시흥시,안산시,안성시,안양시,양주시,여주시,오산시,용인시,의왕시,의정부시,이천시,파주시,평택시,포천시,하남시,화성시,강릉시,동해시,삼척시,속초시,원주시,춘천시,태백시,제천시,청주시,충주시,계룡시,공주시,논산시,당진시,보령시,서산시,아산시,천안시,군산시,김제시,남원시,익산시,전주시,정읍시,광양시,나주시,목포시,순천시,여수시,경산시,경주시,구미시,김천시,문경시,상주시,안동시,영주시,영천시,포항시,거제시,김해시,밀양시,사천시,양산시,진주시,창원시,통영시,서귀포시,제주시,소계,소계
"계",소계,1587866,290816,120095,72171,91257,43179,44426,31834,6251,27043,1221,8080,10860,5732,5280,12388,14813,2975,28212,27066,40659,17726,26263,6513,14135,6486,3752,7391,21502,2975,14351,7454,11544,25466,5489,6815,21374,6220,2648,2130,3029,10716,8392,1162,3739,25572,6155,500,2702,3516,4895,3024,6115,9122,21344,10933,2014,2028,7853,17926,2920,4592,2905,8551,8053,12274,6803,8324,12755,4076,1481,2323,4843,2250,3070,16132,8121,18004,2797,3731,9915,10146,30522,5572,8168,20484,19592,104133
"강력범죄",소계,24332,6246,1593,917,1524,629,732,502,91,341,19,119,87,87,99,143,202,62,469,415,620,273,396,93,250,94,65,112,230,37,245,123,130,273,81,68,243,131,41,24,39,135,109,24,60,389,93,10,51,37,72,51,77,118,342,120,34,31,96,305,44,59,46,138,114,143,115,109,149,48,24,35,69,43,36,193,110,172,41,42,127,148,386,66,103,347,43,1383
"강력범죄",살인기수,308,50,21,15,12,7,9,6,4,4,-,1,3,-,3,2,1,1,5,5,10,5,3,2,1,2,2,1,3,-,5,-,5,6,-,-,4,-,1,1,1,4,5,-,1,1,2,1,-,1,-,-,-,2,2,2,1,1,2,4,2,2,3,-,2,3,1,1,-,-,-,1,2,1,1,3,2,7,-,2,4,4,4,-,3,5,4,21
"강력범죄",살인미수등,416,88,30,13,25,3,9,6,4,2,-,2,1,1,-,-,4,-,6,7,5,8,8,4,3,3,2,1,4,1,5,1,3,5,1,-,4,2,1,1,-,1,1,2,2,3,2,-,1,3,3,2,2,5,6,1,3,2,2,4,2,-,-,-,2,4,-,1,4,1,-,-,2,-,2,4,7,6,-,6,2,1,13,-,2,4,1,44
"강력범죄",강도,663,141,38,33,45,24,14,14,2,10,-,4,-,2,3,7,8,5,16,15,9,6,16,4,5,4,2,1,6,-,7,1,4,12,1,2,4,8,-,1,2,7,1,-,3,9,3,1,-,-,3,2,1,15,14,2,-,4,-,9,1,1,2,5,-,4,-,1,5,-,-,1,1,1,-,6,-,4,-,-,7,8,16,2,3,11,1,33
"강력범죄",강간,5313,1279,306,213,338,158,180,103,27,81,4,21,23,17,23,33,40,16,81,79,144,63,87,18,54,23,14,30,46,8,55,24,27,64,19,9,56,28,11,4,8,34,16,9,13,98,24,1,21,10,18,14,15,20,86,21,8,9,24,58,12,11,8,38,25,30,32,20,34,19,9,13,12,11,7,52,21,40,11,9,29,37,93,13,18,77,21,298
"강력범죄",유사강간,823,197,63,28,45,19,25,18,2,12,-,5,7,3,7,3,6,1,15,8,16,14,17,2,9,-,1,1,8,2,12,-,5,11,1,5,13,1,-,1,-,2,9,1,3,6,5,1,3,1,1,3,4,4,7,11,1,-,2,11,-,-,2,6,7,7,4,3,12,1,-,1,1,2,3,6,9,5,-,4,4,7,8,1,3,15,1,53
