"구속·불구속별(1)",구속·불구속별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"구속·불구속별(1)",구속·불구속별(2),계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,아동보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,보완수사요구(결정),공소보류
"구속·불구속별(1)",구속·불구속별(2),소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계,소계
"합계",소계,967069,582573,21184,179645,381744,25665,18161,217,4607,317268,197057,60362,987,58862,3949,753,13876,-
"구속",소계,20061,19902,19356,386,160,6,3,-,-,119,32,45,-,42,14,5,12,-
"구속",현행범체포,4790,4736,4522,110,104,1,3,-,-,47,18,15,-,14,1,-,2,-
"구속",긴급체포,4184,4152,4066,72,14,1,-,-,-,20,6,9,-,5,8,1,2,-
"구속",사전영장,3986,3962,3884,73,5,4,-,-,-,18,1,9,-,8,-,1,1,-
"구속",체포,7101,7052,6884,131,37,-,-,-,-,34,7,12,-,15,5,3,7,-
"불구속",소계,947008,562671,1828,179259,381584,25659,18158,217,4607,317149,197025,60317,987,58820,3935,748,13864,-
"불구속",불구속입건,940858,558549,1789,176660,380100,25501,18079,215,4584,315572,196104,59901,985,58582,3898,738,13722,-
"불구속",영장요구_검사기각,4407,2549,18,1096,1435,133,71,2,21,1495,893,372,2,228,21,8,107,-
"불구속",영장요구_판사기각,1627,1493,20,1452,21,23,4,-,1,56,13,38,-,5,15,2,33,-
"불구속",적부심석방,95,62,1,36,25,2,3,-,1,24,14,6,-,4,1,-,2,-
"불구속",검사구속취소,21,18,-,15,3,-,1,-,-,2,1,-,-,1,-,-,-,-
